Date,Region,Local_Authority,Total_Parcels,Children_Parcels,Adult_Parcels,Referral_Source,Deprivation_Decile
2021-02-01,Yorkshire,Hull,553,242,311,Social Services,4
2021-02-01,West Midlands,Birmingham,1429,642,787,Jobcentre Plus,5
2021-02-01,West Midlands,Coventry,1179,489,690,School/College,4
2021-02-01,West Midlands,Wolverhampton,1019,309,710,Housing Services,2
2021-02-01,West Midlands,Stoke,340,133,207,Health Services,5
2021-02-01,East Midlands,Nottingham,438,137,301,Social Services,6
2021-02-01,East Midlands,Leicester,814,343,471,Jobcentre Plus,6
2021-02-01,East Midlands,Derby,503,194,309,Jobcentre Plus,4
2021-02-01,East Midlands,Lincoln,710,269,441,Jobcentre Plus,4
2021-02-01,East,Norwich,492,179,313,Jobcentre Plus,7
2021-02-01,East,Peterborough,669,261,408,Jobcentre Plus,6
2021-02-01,East,Ipswich,705,253,452,Jobcentre Plus,6
2021-02-01,East,Cambridge,263,93,170,Self Referral,5
2021-02-01,London,Tower Hamlets,780,341,439,Social Services,3
2021-02-01,London,Newham,890,317,573,Social Services,3
2021-02-01,London,Hackney,719,217,502,Jobcentre Plus,4
2021-02-01,London,Lambeth,791,302,489,Jobcentre Plus,3
2021-02-01,South East,Brighton,509,218,291,Health Services,6
2021-02-01,South East,Portsmouth,378,147,231,Jobcentre Plus,5
2021-02-01,South East,Reading,936,302,634,School/College,6
2021-02-01,South East,Southampton,295,115,180,School/College,6
2021-02-01,South West,Bristol,330,115,215,Social Services,6
2021-02-01,South West,Plymouth,528,206,322,Jobcentre Plus,4
2021-02-01,South West,Exeter,506,160,346,Jobcentre Plus,5
2021-02-01,South West,Gloucester,681,255,426,Jobcentre Plus,6
2021-02-01,Wales,Cardiff,649,225,424,Citizens Advice,5
2021-02-01,Wales,Swansea,1199,505,694,Social Services,4
2021-02-01,Wales,Newport,437,171,266,Jobcentre Plus,5
2021-02-01,Wales,Wrexham,1315,556,759,Citizens Advice,4
2021-02-01,Scotland,Glasgow,526,227,299,Social Services,3
2021-02-01,Scotland,Edinburgh,1123,450,673,Jobcentre Plus,5
2021-02-01,Scotland,Aberdeen,712,252,460,Housing Services,3
2021-02-01,Scotland,Dundee,501,203,298,Social Services,5
2021-03-01,North East,Newcastle,646,231,415,School/College,3
2021-03-01,North East,Sunderland,1164,491,673,Jobcentre Plus,4
2021-03-01,North East,Middlesbrough,1086,354,732,School/College,3
2021-03-01,North East,Durham,865,304,561,Health Services,4
2021-03-01,North West,Manchester,1039,314,725,Jobcentre Plus,3
2021-03-01,North West,Liverpool,291,87,204,Health Services,4
2021-03-01,North West,Preston,976,333,643,Social Services,2
2021-03-01,North West,Blackpool,848,318,530,Social Services,3
2021-03-01,Yorkshire,Leeds,229,81,148,Self Referral,2
2021-03-01,Yorkshire,Sheffield,296,129,167,Citizens Advice,5
2021-03-01,Yorkshire,Bradford,696,211,485,Jobcentre Plus,5
2021-03-01,Yorkshire,Hull,531,213,318,Social Services,2
2021-03-01,West Midlands,Birmingham,462,165,297,Jobcentre Plus,4
2021-03-01,West Midlands,Coventry,499,221,278,Social Services,3
2021-03-01,West Midlands,Wolverhampton,934,305,629,School/College,5
2021-03-01,West Midlands,Stoke,564,180,384,Social Services,4
2021-03-01,East Midlands,Nottingham,583,181,402,School/College,4
2021-03-01,East Midlands,Leicester,548,212,336,Social Services,5
2021-03-01,East Midlands,Derby,481,150,331,Housing Services,5
2021-03-01,East Midlands,Lincoln,616,274,342,Citizens Advice,4
2021-03-01,East,Norwich,303,126,177,Social Services,8
2021-03-01,East,Peterborough,626,205,421,Health Services,5
2021-03-01,East,Ipswich,347,105,242,Citizens Advice,8
2021-03-01,East,Cambridge,476,169,307,School/College,7
2021-03-01,London,Tower Hamlets,749,328,421,Self Referral,6
2021-03-01,London,Newham,318,116,202,Other Agency,6
2021-03-01,London,Hackney,492,167,325,Other Agency,3
2021-03-01,London,Lambeth,629,197,432,Social Services,4
2021-03-01,South East,Brighton,357,125,232,Social Services,8
2021-03-01,South East,Portsmouth,435,169,266,Health Services,8
2021-03-01,South East,Reading,245,108,137,Jobcentre Plus,8
2021-03-01,South East,Southampton,381,137,244,,6
2021-03-01,South West,Bristol,627,245,382,Social Services,4
2021-03-01,South West,Plymouth,313,113,200,Self Referral,7
2021-03-01,South West,Exeter,298,129,169,Social Services,6
2021-03-01,South West,Gloucester,309,110,199,Jobcentre Plus,4
2021-03-01,Wales,Cardiff,500,158,342,Self Referral,4
2021-03-01,Wales,Swansea,654,211,443,,5
2021-03-01,Wales,Newport,373,166,207,Health Services,3
2021-03-01,Wales,Wrexham,379,115,264,Social Services,4
2021-03-01,Scotland,Glasgow,469,182,287,Jobcentre Plus,4
2021-03-01,Scotland,Edinburgh,706,242,464,Jobcentre Plus,4
2021-03-01,Scotland,Aberdeen,427,152,275,Housing Services,2
2021-03-01,Scotland,Dundee,523,158,365,School/College,3
2021-04-01,North East,Newcastle,979,354,625,School/College,1
2021-04-01,North East,Sunderland,973,313,660,Health Services,1
2021-04-01,North East,Middlesbrough,761,314,447,Social Services,1
2021-04-01,North East,Durham,639,225,414,Jobcentre Plus,2
2021-04-01,North West,Manchester,832,257,575,Jobcentre Plus,1
2021-04-01,North West,Liverpool,427,191,236,Social Services,2
2021-04-01,North West,Preston,982,369,613,Jobcentre Plus,3
2021-04-01,North West,Blackpool,955,386,569,Jobcentre Plus,2
2021-04-01,Yorkshire,Leeds,803,243,560,Jobcentre Plus,4
2021-04-01,Yorkshire,Sheffield,784,313,471,Citizens Advice,3
2021-04-01,Yorkshire,Bradford,683,225,458,Jobcentre Plus,3
2021-04-01,Yorkshire,Hull,538,197,341,School/College,3
2021-04-01,West Midlands,Birmingham,405,142,263,School/College,2
2021-04-01,West Midlands,Coventry,759,255,504,Other Agency,3
2021-04-01,West Midlands,Wolverhampton,1043,358,685,Jobcentre Plus,3
2021-04-01,West Midlands,Stoke,777,252,525,Jobcentre Plus,4
2021-04-01,East Midlands,Nottingham,387,152,235,Social Services,5
2021-04-01,East Midlands,Leicester,674,224,450,Citizens Advice,3
2021-04-01,East Midlands,Derby,375,113,262,Jobcentre Plus,5
2021-04-01,East Midlands,Lincoln,625,270,355,Jobcentre Plus,3
2021-04-01,East,Norwich,188,76,112,School/College,7
2021-04-01,East,Peterborough,341,139,202,Jobcentre Plus,8
2021-04-01,East,Ipswich,603,200,403,Social Services,5
2021-04-01,East,Cambridge,355,139,216,Social Services,8
2021-04-01,London,Tower Hamlets,290,126,164,Citizens Advice,6
2021-04-01,London,Newham,601,266,335,Self Referral,5
2021-04-01,London,Hackney,514,199,315,Social Services,6
2021-04-01,London,Lambeth,734,224,510,Housing Services,4
2021-04-01,South East,Brighton,512,181,331,Social Services,8
2021-04-01,South East,Portsmouth,586,226,360,Health Services,5
2021-04-01,South East,Reading,233,72,161,Health Services,5
2021-04-01,South East,Southampton,517,203,314,Self Referral,6
2021-04-01,South West,Bristol,356,125,231,Jobcentre Plus,6
2021-04-01,South West,Plymouth,479,205,274,,4
2021-04-01,South West,Exeter,519,163,356,Social Services,6
2021-04-01,South West,Gloucester,398,178,220,Health Services,4
2021-04-01,Wales,Cardiff,291,128,163,Jobcentre Plus,3
2021-04-01,Wales,Swansea,470,145,325,Health Services,4
2021-04-01,Wales,Newport,657,291,366,Citizens Advice,5
2021-04-01,Wales,Wrexham,499,154,345,Jobcentre Plus,4
2021-04-01,Scotland,Glasgow,723,310,413,Jobcentre Plus,5
2021-04-01,Scotland,Edinburgh,808,353,455,Jobcentre Plus,3
2021-04-01,Scotland,Aberdeen,653,272,381,Citizens Advice,2
2021-04-01,Scotland,Dundee,391,135,256,School/College,5
2021-05-01,North East,Newcastle,1160,394,766,Jobcentre Plus,2
2021-05-01,North East,Sunderland,666,205,461,Social Services,4
2021-05-01,North East,Middlesbrough,1023,405,618,,3
2021-05-01,North East,Durham,370,129,241,Social Services,1
2021-05-01,North West,Manchester,638,223,415,Social Services,2
2021-05-01,North West,Liverpool,1032,336,696,Social Services,2
2021-05-01,North West,Preston,1023,407,616,School/College,1
2021-05-01,North West,Blackpool,866,292,574,Housing Services,1
2021-05-01,Yorkshire,Leeds,519,200,319,Citizens Advice,5
2021-05-01,Yorkshire,Sheffield,858,350,508,Housing Services,4
2021-05-01,Yorkshire,Bradford,593,261,332,Jobcentre Plus,3
2021-05-01,Yorkshire,Hull,936,359,577,,3
2021-05-01,West Midlands,Birmingham,793,267,526,Social Services,2
2021-05-01,West Midlands,Coventry,705,219,486,Citizens Advice,4
2021-05-01,West Midlands,Wolverhampton,287,100,187,Self Referral,4
2021-05-01,West Midlands,Stoke,397,134,263,Jobcentre Plus,4
2021-05-01,East Midlands,Nottingham,259,92,167,Jobcentre Plus,3
2021-05-01,East Midlands,Leicester,779,339,440,Social Services,4
2021-05-01,East Midlands,Derby,715,284,431,Other Agency,5
2021-05-01,East Midlands,Lincoln,499,202,297,Social Services,6
2021-05-01,East,Norwich,466,140,326,Self Referral,6
2021-05-01,East,Peterborough,321,101,220,Social Services,8
2021-05-01,East,Ipswich,189,80,109,Jobcentre Plus,7
2021-05-01,East,Cambridge,649,271,378,Jobcentre Plus,7
2021-05-01,London,Tower Hamlets,419,165,254,Citizens Advice,3
2021-05-01,London,Newham,860,361,499,Social Services,4
2021-05-01,London,Hackney,721,218,503,Housing Services,5
2021-05-01,London,Lambeth,508,198,310,Jobcentre Plus,6
2021-05-01,South East,Brighton,294,105,189,Social Services,7
2021-05-01,South East,Portsmouth,457,138,319,Jobcentre Plus,8
2021-05-01,South East,Reading,493,218,275,Other Agency,7
2021-05-01,South East,Southampton,215,70,145,Jobcentre Plus,8
2021-05-01,South West,Bristol,535,216,319,Housing Services,5
2021-05-01,South West,Plymouth,649,214,435,Self Referral,4
2021-05-01,South West,Exeter,414,127,287,Social Services,6
2021-05-01,South West,Gloucester,244,79,165,Jobcentre Plus,4
2021-05-01,Wales,Cardiff,836,286,550,Health Services,4
2021-05-01,Wales,Swansea,706,268,438,Jobcentre Plus,4
2021-05-01,Wales,Newport,760,237,523,Jobcentre Plus,3
2021-05-01,Wales,Wrexham,978,421,557,Social Services,5
2021-05-01,Scotland,Glasgow,815,322,493,Social Services,2
2021-05-01,Scotland,Edinburgh,892,325,567,Jobcentre Plus,5
2021-05-01,Scotland,Aberdeen,604,205,399,Housing Services,4
2021-05-01,Scotland,Dundee,749,257,492,Housing Services,3
2021-06-01,North East,Newcastle,421,135,286,Health Services,1
2021-06-01,North East,Sunderland,942,307,635,Jobcentre Plus,2
2021-06-01,North East,Middlesbrough,457,147,310,Jobcentre Plus,2
2021-06-01,North East,Durham,1016,448,568,Jobcentre Plus,1
2021-06-01,North West,Manchester,293,119,174,School/College,4
2021-06-01,North West,Liverpool,869,366,503,Housing Services,4
2021-06-01,North West,Preston,437,172,265,Social Services,3
2021-06-01,North West,Blackpool,1084,483,601,Jobcentre Plus,2
2021-06-01,Yorkshire,Leeds,838,262,576,Self Referral,5
2021-06-01,Yorkshire,Sheffield,326,105,221,School/College,2
2021-06-01,Yorkshire,Bradford,257,111,146,Health Services,3
2021-06-01,Yorkshire,Hull,882,340,542,Social Services,2
2021-06-01,West Midlands,Birmingham,333,127,206,Social Services,3
2021-06-01,West Midlands,Coventry,699,252,447,Jobcentre Plus,5
2021-06-01,West Midlands,Wolverhampton,589,241,348,Social Services,4
2021-06-01,West Midlands,Stoke,529,198,331,Jobcentre Plus,5
2021-06-01,East Midlands,Nottingham,443,135,308,Health Services,6
2021-06-01,East Midlands,Leicester,501,196,305,Social Services,5
2021-06-01,East Midlands,Derby,629,227,402,School/College,6
2021-06-01,East Midlands,Lincoln,532,237,295,Social Services,5
2021-06-01,East,Norwich,481,168,313,Other Agency,6
2021-06-01,East,Peterborough,288,96,192,Social Services,6
2021-06-01,East,Ipswich,394,167,227,,5
2021-06-01,East,Cambridge,536,164,372,Housing Services,8
2021-06-01,London,Tower Hamlets,769,234,535,School/College,4
2021-06-01,London,Newham,764,288,476,Jobcentre Plus,3
2021-06-01,London,Hackney,391,144,247,Social Services,3
2021-06-01,London,Lambeth,786,340,446,School/College,3
2021-06-01,South East,Brighton,601,267,334,Social Services,5
2021-06-01,South East,Portsmouth,383,149,234,Social Services,8
2021-06-01,South East,Reading,562,248,314,Citizens Advice,8
2021-06-01,South East,Southampton,190,60,130,Self Referral,6
2021-06-01,South West,Bristol,499,155,344,Housing Services,7
2021-06-01,South West,Plymouth,546,225,321,Jobcentre Plus,4
2021-06-01,South West,Exeter,479,179,300,Jobcentre Plus,5
2021-06-01,South West,Gloucester,656,294,362,Housing Services,4
2021-06-01,Wales,Cardiff,477,185,292,Social Services,2
2021-06-01,Wales,Swansea,849,279,570,Citizens Advice,2
2021-06-01,Wales,Newport,515,214,301,Social Services,2
2021-06-01,Wales,Wrexham,763,342,421,Social Services,2
2021-06-01,Scotland,Glasgow,271,99,172,Jobcentre Plus,2
2021-06-01,Scotland,Edinburgh,420,142,278,Jobcentre Plus,5
2021-06-01,Scotland,Aberdeen,570,205,365,School/College,2
2021-06-01,Scotland,Dundee,552,220,332,Health Services,5
2021-07-01,North East,Newcastle,366,111,255,Citizens Advice,1
2021-07-01,North East,Sunderland,1365,412,953,Jobcentre Plus,3
2021-07-01,North East,Middlesbrough,971,369,602,Citizens Advice,3
2021-07-01,North East,Durham,1329,525,804,Health Services,2
2021-07-01,North West,Manchester,781,274,507,Jobcentre Plus,2
2021-07-01,North West,Liverpool,604,218,386,School/College,3
2021-07-01,North West,Preston,1234,461,773,Jobcentre Plus,4
2021-07-01,North West,Blackpool,1000,387,613,Self Referral,1
2021-07-01,Yorkshire,Leeds,1135,497,638,Jobcentre Plus,2
2021-07-01,Yorkshire,Sheffield,599,210,389,Self Referral,4
2021-07-01,Yorkshire,Bradford,479,165,314,School/College,2
2021-07-01,Yorkshire,Hull,381,163,218,Jobcentre Plus,2
2021-07-01,West Midlands,Birmingham,934,284,650,Social Services,3
2021-07-01,West Midlands,Coventry,1173,496,677,Social Services,3
2021-07-01,West Midlands,Wolverhampton,747,228,519,Housing Services,3
2021-07-01,West Midlands,Stoke,1101,491,610,Citizens Advice,3
2021-07-01,East Midlands,Nottingham,435,148,287,Social Services,3
2021-07-01,East Midlands,Leicester,877,344,533,Social Services,3
2021-07-01,East Midlands,Derby,464,149,315,Self Referral,3
2021-07-01,East Midlands,Lincoln,229,80,149,Other Agency,4
2021-07-01,East,Norwich,393,121,272,Other Agency,8
2021-07-01,East,Peterborough,593,216,377,School/College,7
2021-07-01,East,Ipswich,207,65,142,Health Services,8
2021-07-01,East,Cambridge,517,177,340,Housing Services,7
2021-07-01,London,Tower Hamlets,392,124,268,Social Services,4
2021-07-01,London,Newham,282,94,188,Citizens Advice,6
2021-07-01,London,Hackney,307,121,186,Social Services,4
2021-07-01,London,Lambeth,760,265,495,School/College,5
2021-07-01,South East,Brighton,316,105,211,Jobcentre Plus,8
2021-07-01,South East,Portsmouth,497,153,344,Jobcentre Plus,7
2021-07-01,South East,Reading,515,217,298,Social Services,7
2021-07-01,South East,Southampton,572,178,394,Jobcentre Plus,8
2021-07-01,South West,Bristol,745,266,479,School/College,7
2021-07-01,South West,Plymouth,799,334,465,Citizens Advice,6
2021-07-01,South West,Exeter,742,328,414,Citizens Advice,5
2021-07-01,South West,Gloucester,727,311,416,Social Services,4
2021-07-01,Wales,Cardiff,473,182,291,Health Services,3
2021-07-01,Wales,Swansea,1110,441,669,Jobcentre Plus,2
2021-07-01,Wales,Newport,1013,412,601,Self Referral,3
2021-07-01,Wales,Wrexham,674,205,469,Housing Services,5
2021-07-01,Scotland,Glasgow,888,280,608,School/College,5
2021-07-01,Scotland,Edinburgh,956,298,658,School/College,3
2021-07-01,Scotland,Aberdeen,698,211,487,Housing Services,5
2021-07-01,Scotland,Dundee,310,97,213,Jobcentre Plus,4
2021-08-01,North East,Newcastle,1338,538,800,Jobcentre Plus,4
2021-08-01,North East,Sunderland,1114,342,772,Jobcentre Plus,1
2021-08-01,North East,Middlesbrough,918,279,639,Health Services,4
2021-08-01,North East,Durham,478,194,284,Health Services,3
2021-08-01,North West,Manchester,404,165,239,Housing Services,2
2021-08-01,North West,Liverpool,512,218,294,Jobcentre Plus,3
2021-08-01,North West,Preston,1044,340,704,Jobcentre Plus,2
2021-08-01,North West,Blackpool,422,162,260,Citizens Advice,4
2021-08-01,Yorkshire,Leeds,329,105,224,Jobcentre Plus,2
2021-08-01,Yorkshire,Sheffield,679,209,470,Health Services,4
2021-08-01,Yorkshire,Bradford,574,239,335,Jobcentre Plus,5
2021-08-01,Yorkshire,Hull,330,127,203,Jobcentre Plus,3
2021-08-01,West Midlands,Birmingham,1066,331,735,Citizens Advice,4
2021-08-01,West Midlands,Coventry,384,131,253,Citizens Advice,2
2021-08-01,West Midlands,Wolverhampton,1155,509,646,Social Services,5
2021-08-01,West Midlands,Stoke,702,298,404,Social Services,2
2021-08-01,East Midlands,Nottingham,913,372,541,Jobcentre Plus,4
2021-08-01,East Midlands,Leicester,410,169,241,Jobcentre Plus,6
2021-08-01,East Midlands,Derby,562,201,361,School/College,6
2021-08-01,East Midlands,Lincoln,334,103,231,Social Services,6
2021-08-01,East,Norwich,467,165,302,School/College,6
2021-08-01,East,Peterborough,719,290,429,Social Services,5
2021-08-01,East,Ipswich,641,240,401,Jobcentre Plus,8
2021-08-01,East,Cambridge,704,252,452,Self Referral,8
2021-08-01,London,Tower Hamlets,1077,451,626,Jobcentre Plus,3
2021-08-01,London,Newham,600,239,361,Jobcentre Plus,4
2021-08-01,London,Hackney,489,219,270,Health Services,5
2021-08-01,London,Lambeth,1008,401,607,Health Services,5
2021-08-01,South East,Brighton,229,87,142,,8
2021-08-01,South East,Portsmouth,430,164,266,Jobcentre Plus,7
2021-08-01,South East,Reading,648,212,436,School/College,6
2021-08-01,South East,Southampton,377,118,259,Jobcentre Plus,7
2021-08-01,South West,Bristol,372,140,232,School/College,4
2021-08-01,South West,Plymouth,642,275,367,Jobcentre Plus,4
2021-08-01,South West,Exeter,281,97,184,School/College,4
2021-08-01,South West,Gloucester,892,388,504,Self Referral,6
2021-08-01,Wales,Cardiff,910,397,513,Housing Services,4
2021-08-01,Wales,Swansea,340,121,219,Jobcentre Plus,4
2021-08-01,Wales,Newport,837,373,464,Social Services,4
2021-08-01,Wales,Wrexham,799,294,505,Social Services,5
2021-08-01,Scotland,Glasgow,471,147,324,Health Services,4
2021-08-01,Scotland,Edinburgh,676,278,398,Jobcentre Plus,5
2021-08-01,Scotland,Aberdeen,483,199,284,Jobcentre Plus,2
2021-08-01,Scotland,Dundee,598,249,349,,3
2021-09-01,North East,Newcastle,441,156,285,Jobcentre Plus,1
2021-09-01,North East,Sunderland,799,244,555,Self Referral,4
2021-09-01,North East,Middlesbrough,1053,443,610,Health Services,4
2021-09-01,North East,Durham,440,185,255,Jobcentre Plus,3
2021-09-01,North West,Manchester,1028,333,695,Jobcentre Plus,3
2021-09-01,North West,Liverpool,749,249,500,Self Referral,4
2021-09-01,North West,Preston,552,205,347,Health Services,4
2021-09-01,North West,Blackpool,1119,457,662,Jobcentre Plus,2
2021-09-01,Yorkshire,Leeds,591,262,329,Jobcentre Plus,5
2021-09-01,Yorkshire,Sheffield,673,210,463,Citizens Advice,5
2021-09-01,Yorkshire,Bradford,770,273,497,Jobcentre Plus,4
2021-09-01,Yorkshire,Hull,676,205,471,Health Services,3
2021-09-01,West Midlands,Birmingham,394,157,237,Health Services,3
2021-09-01,West Midlands,Coventry,530,199,331,Jobcentre Plus,3
2021-09-01,West Midlands,Wolverhampton,938,415,523,Self Referral,2
2021-09-01,West Midlands,Stoke,756,300,456,Jobcentre Plus,3
2021-09-01,East Midlands,Nottingham,563,211,352,Jobcentre Plus,6
2021-09-01,East Midlands,Leicester,279,94,185,Housing Services,4
2021-09-01,East Midlands,Derby,741,313,428,Social Services,4
2021-09-01,East Midlands,Lincoln,687,250,437,Social Services,6
2021-09-01,East,Norwich,303,102,201,Jobcentre Plus,6
2021-09-01,East,Peterborough,182,61,121,,7
2021-09-01,East,Ipswich,261,84,177,Jobcentre Plus,8
2021-09-01,East,Cambridge,616,215,401,Health Services,8
2021-09-01,London,Tower Hamlets,300,111,189,Health Services,3
2021-09-01,London,Newham,252,75,177,School/College,4
2021-09-01,London,Hackney,373,132,241,School/College,3
2021-09-01,London,Lambeth,432,158,274,School/College,6
2021-09-01,South East,Brighton,370,111,259,Jobcentre Plus,7
2021-09-01,South East,Portsmouth,184,76,108,Health Services,5
2021-09-01,South East,Reading,418,177,241,Self Referral,8
2021-09-01,South East,Southampton,166,71,95,Health Services,8
2021-09-01,South West,Bristol,427,135,292,Jobcentre Plus,6
2021-09-01,South West,Plymouth,535,220,315,School/College,6
2021-09-01,South West,Exeter,406,163,243,,4
2021-09-01,South West,Gloucester,190,67,123,Citizens Advice,4
2021-09-01,Wales,Cardiff,363,158,205,Jobcentre Plus,5
2021-09-01,Wales,Swansea,523,181,342,Jobcentre Plus,2
2021-09-01,Wales,Newport,591,181,410,Housing Services,4
2021-09-01,Wales,Wrexham,560,231,329,Jobcentre Plus,5
2021-09-01,Scotland,Glasgow,247,84,163,Jobcentre Plus,3
2021-09-01,Scotland,Edinburgh,469,167,302,Jobcentre Plus,5
2021-09-01,Scotland,Aberdeen,690,305,385,Other Agency,2
2021-09-01,Scotland,Dundee,409,134,275,Social Services,4
2021-10-01,North East,Newcastle,493,174,319,Housing Services,4
2021-10-01,North East,Sunderland,1025,389,636,Self Referral,4
2021-10-01,North East,Middlesbrough,1183,503,680,Jobcentre Plus,2
2021-10-01,North East,Durham,498,206,292,Social Services,4
2021-10-01,North West,Manchester,286,123,163,Jobcentre Plus,1
2021-10-01,North West,Liverpool,568,247,321,Jobcentre Plus,1
2021-10-01,North West,Preston,1035,329,706,Other Agency,4
2021-10-01,North West,Blackpool,358,116,242,Jobcentre Plus,3
2021-10-01,Yorkshire,Leeds,236,96,140,Jobcentre Plus,4
2021-10-01,Yorkshire,Sheffield,294,96,198,Social Services,5
2021-10-01,Yorkshire,Bradford,796,356,440,Social Services,3
2021-10-01,Yorkshire,Hull,1004,323,681,Health Services,4
2021-10-01,West Midlands,Birmingham,876,306,570,,2
2021-10-01,West Midlands,Coventry,555,175,380,Jobcentre Plus,3
2021-10-01,West Midlands,Wolverhampton,507,203,304,Jobcentre Plus,3
2021-10-01,West Midlands,Stoke,634,191,443,Self Referral,5
2021-10-01,East Midlands,Nottingham,520,227,293,Health Services,5
2021-10-01,East Midlands,Leicester,302,126,176,Social Services,6
2021-10-01,East Midlands,Derby,565,224,341,Social Services,6
2021-10-01,East Midlands,Lincoln,217,86,131,Jobcentre Plus,4
2021-10-01,East,Norwich,402,129,273,Social Services,6
2021-10-01,East,Peterborough,491,193,298,Jobcentre Plus,8
2021-10-01,East,Ipswich,599,184,415,Jobcentre Plus,6
2021-10-01,East,Cambridge,220,97,123,Health Services,8
2021-10-01,London,Tower Hamlets,372,160,212,Jobcentre Plus,5
2021-10-01,London,Newham,679,261,418,Health Services,4
2021-10-01,London,Hackney,700,258,442,Jobcentre Plus,6
2021-10-01,London,Lambeth,418,126,292,Jobcentre Plus,6
2021-10-01,South East,Brighton,520,157,363,Health Services,5
2021-10-01,South East,Portsmouth,341,150,191,Jobcentre Plus,6
2021-10-01,South East,Reading,254,99,155,Social Services,6
2021-10-01,South East,Southampton,509,163,346,Self Referral,6
2021-10-01,South West,Bristol,608,263,345,Jobcentre Plus,6
2021-10-01,South West,Plymouth,764,251,513,Housing Services,4
2021-10-01,South West,Exeter,463,157,306,Health Services,6
2021-10-01,South West,Gloucester,345,104,241,Health Services,5
2021-10-01,Wales,Cardiff,634,262,372,Health Services,4
2021-10-01,Wales,Swansea,815,352,463,Jobcentre Plus,4
2021-10-01,Wales,Newport,717,317,400,Self Referral,3
2021-10-01,Wales,Wrexham,601,185,416,,5
2021-10-01,Scotland,Glasgow,830,285,545,Social Services,3
2021-10-01,Scotland,Edinburgh,361,153,208,Jobcentre Plus,4
2021-10-01,Scotland,Aberdeen,999,419,580,Jobcentre Plus,4
2021-10-01,Scotland,Dundee,389,127,262,Self Referral,3
